\fixlen = T
\RowsRetrieved = 5428
\QUERY_STATUS = 'OK'
\ in_row_id
\ in_ra
\ in_dec
\ scan_id
\ ___ scan ID
\ scangrp
\ ___ scan group ID
\ frame_num
\ ___ frame number in scan
\ band
\ ___ WISE band number
\ qual_frame
\ ___ quality score value for frame
\ moon_sep
\ ___ distance from frame center to moon
\ dtanneal
\ ___ time since last anneal
\ saa_sep
\ ___ distance from frame center to SAA boundary
\ unixt
\ date_obs
\ ___ date and time of mid-point of frame observation, UTC
|in_row_id|             in_ra|             in_dec|scan_id|scangrp|frame_num|band|qual_frame|          moon_sep|          dtanneal|              saa_sep|             unixt|               date_obs|               fname               |
|      int|            double|             double|   char|   char|      int| int|       int|            double|            double|               double|            double|                   char|               char                |
|         |                  |                   |       |       |         |    |          |                  |                  |                     |                  |                       |                                   |
|     null|              null|               null|   null|   null|     null|null|      null|              null|              null|                 null|              null|                   null|               null                |
         1 58.770299999999999 -38.195140000000002  95866a      6a       228    1          5 53.027002283461101             999999             54.117784   1533315185.33902 2018-08-03 16:53:05.339           95866a228-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95866a      6a       230    1         10 53.692303752696397             999999             54.078319     1533315196.339 2018-08-03 16:53:16.339           95866a230-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95868a      8a       204    1          5 52.885139419914999             999999    71.939774999999997   1533320840.36201 2018-08-03 18:27:20.362           95868a204-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95868a      8a       205    1          5 53.556011736167498             999999    71.562790000000007   1533320851.36199 2018-08-03 18:27:31.362           95868a205-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95870a      0a       229    1         10 52.901528103827999             999999    85.186736999999994 1533326495.3770101 2018-08-03 20:01:35.377           95870a229-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95870a      0a       230    1         10 53.574257289522997             999999    84.611512000000005 1533326506.3810101 2018-08-03 20:01:46.381           95870a230-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95872a      2a       204    1         10 52.783975497837297             999999    92.852493999999993 1533332150.4000001 2018-08-03 21:35:50.400           95872a204-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95872a      2a       205    1         10 53.462036379588803             999999    92.402118999999999 1533332161.4040101 2018-08-03 21:36:01.404           95872a205-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95874a      4a       229    1         10 52.812651191733202             999999    79.280591000000001 1533337805.4230001 2018-08-03 23:10:05.423           95874a229-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95874a      4a       230    1          5 53.491569911505302             999999    78.813407999999995   1533337816.42399 2018-08-03 23:10:16.424           95874a230-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95876a      6a       203    1         10 52.036807126171503             999999    61.183902000000003 1533343449.4430001 2018-08-04 00:44:09.443           95876a203-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95876a      6a       204    1         10 52.720109175941801             999999    60.836773000000001 1533343460.4429801 2018-08-04 00:44:20.443           95876a204-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95878a      8a       229    1         10 52.750441354470198             999999    41.531756000000001 1533349115.4619999 2018-08-04 02:18:35.462           95878a229-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95882a      2a       228    1         10   52.0406940056995             999999    5.9688590000000001   1533360414.49598 2018-08-04 05:26:54.496           95882a228-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95882a      2a       229    1         10 52.731235444269203             999999    6.3265640000000003   1533360425.49999 2018-08-04 05:27:05.500           95882a229-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95892a      2a       204    1         10 52.134536733193002             999999    9.9401910000000004   1533388689.59198 2018-08-04 13:18:09.592           95892a204-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95914a      4a       229    1          5 52.902062475411697             999999              0.457422 1533450927.8640201 2018-08-05 06:35:27.864           95914a229-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95922a      2a       204    1          5    52.799279910383             999999    4.7403789999999999 1533473492.9320099 2018-08-05 12:51:32.932           95922a204-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95922a      2a       205    1          5 53.484222645645801             999999    5.2133440000000002 1533473503.9360099 2018-08-05 12:51:43.936           95922a205-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95926a      6a       227    1         10 52.759816070031597             999999    43.432436000000003 1533484835.9779799 2018-08-05 16:00:35.978           95926a227-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95926a      6a       228    1         10 53.437937099590002             999999    43.495655999999997 1533484846.9780099 2018-08-05 16:00:46.978           95926a228-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95928a      8a       204    1          5 53.666873683429799             999999    61.956203000000002 1533490501.9979899 2018-08-05 17:35:01.998           95928a204-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95930a      0a       228    1          5 53.910598798218999             999999    76.524456000000001     1533496157.017 2018-08-05 19:09:17.017           95930a228-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95932a      2a       203    1         10 53.505660881643699             999999             87.304558   1533501801.04002 2018-08-05 20:43:21.040           95932a203-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95932a      2a       204    1          5   54.1703075185928             999999    86.683153000000004      1533501812.04 2018-08-05 20:43:32.040           95932a204-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95934a      4a       228    1         10   53.7617737696795             999999    87.340303000000006   1533507456.05899 2018-08-05 22:17:36.059           95934a228-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95934a      4a       229    1         10 54.424668657528301             999999    86.805092000000002     1533507467.063 2018-08-05 22:17:47.063           95934a229-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95936a      6a       204    1          5 54.709224004705099             999999    69.714341000000005   1533513122.08201 2018-08-05 23:52:02.082           95936a204-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95938a      8a       227    1          5 53.684943970438503             999999             51.896988 1533518755.0969999 2018-08-06 01:25:55.097           95938a227-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95938a      8a       228    1         10 54.338872598916097             999999    51.628982999999998 1533518766.1010101 2018-08-06 01:26:06.101           95938a228-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95940a      0a       202    1         10 54.001137982842799             999999    32.770583000000002 1533524410.1199999 2018-08-06 03:00:10.120           95940a202-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95940a      0a       203    1         10 54.647644372632797             999999             32.708461   1533524421.12099 2018-08-06 03:00:21.121           95940a203-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95940a      0a       204    1         10 55.295210321712702             999999    32.629218999999999   1533524432.12499 2018-08-06 03:00:32.125           95940a204-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95944a      4a       202    1         10 54.621008732061902             999999    2.7720310000000001   1533535720.15501 2018-08-06 06:08:40.155           95944a202-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95944a      4a       204    1         10 55.258106344620401             999999    3.3020580000000002 1533535731.1590199 2018-08-06 06:08:51.159           95944a204-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95954a      4a       228    1         10 56.248125468096198             999999             19.187213   1533563995.25001 2018-08-06 13:59:55.250           95954a228-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95954a      4a       229    1         10 56.861018743472201             999999             19.518725   1533564006.25401 2018-08-06 14:00:06.254           95954a229-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95956a      6a       203    1          5 56.665770914208601             999999    38.143889000000001 1533569650.2740099 2018-08-06 15:34:10.274           95956a203-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95956a      6a       204    1          5 57.269013031271299             999999    38.219487000000001 1533569661.2739899 2018-08-06 15:34:21.274           95956a204-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95960a      0a       202    1         10 56.812677539219301             999999    73.188974999999999 1533580949.3080001 2018-08-06 18:42:29.308           95960a202-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95960a      0a       203    1         10 57.402781961736601             999999    72.799728999999999 1533580960.3080201 2018-08-06 18:42:40.308           95960a203-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95962a      2a       227    1         10 57.124173457729803             999999    85.141891000000001 1533586604.3310001 2018-08-06 20:16:44.331           95962a227-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95962a      2a       228    1          5   57.7110844331309             999999             84.550179 1533586615.3310201 2018-08-06 20:16:55.331           95962a228-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95964a      4a       203    1         10 57.586065055646898             999999    91.919199000000006 1533592259.3459899 2018-08-06 21:50:59.346           95964a203-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95964a      4a       204    1         10 58.163677574304302             999999    91.228860999999995 1533592270.3540201 2018-08-06 21:51:10.354           95964a204-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95966a      6a       227    1         10 57.907748693759601             999999    75.260570999999999 1533597914.3689899 2018-08-06 23:25:14.369           95966a227-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95966a      6a       229    1         10 58.482013488870201             999999    74.966162999999995 1533597925.3729899 2018-08-06 23:25:25.373           95966a229-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95968a      8a       203    1         10 58.390972407516898             999999    57.109724999999997 1533603569.3919899 2018-08-07 00:59:29.392           95968a203-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95968a      8a       204    1         10 58.955014707291397             999999    56.803479000000003   1533603580.39201 2018-08-07 00:59:40.392           95968a204-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95970a      0a       229    1         10 59.281011133701597             999999    37.964185999999998 1533609235.4160099 2018-08-07 02:33:55.416           95970a229-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95974a      4a       228    1         10   59.5475598833345             999999              6.178077 1533620534.4460101 2018-08-07 05:42:14.446           95974a228-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95984a      4a       203    1          5 61.344307573500203             999999    13.914372999999999   1533648798.58198 2018-08-07 13:33:18.582           95984a203-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95984a      4a       204    1         10 61.849582537813198             999999    14.192899000000001   1533648809.58201 2018-08-07 13:33:29.582           95984a204-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95988a      8a       204    1          5 62.763026956344397             999999    51.631444000000002   1533660119.62498 2018-08-07 16:41:59.625           95988a204-w1-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  95992a      2a       203    1         10 63.226289289236298             999999    82.079007000000004 1533671418.6629901 2018-08-07 19:50:18.663           95992a203-w1-int-1b.fits 
