\fixlen = T
\RowsRetrieved = 5428
\QUERY_STATUS = 'OK'
\ in_row_id
\ in_ra
\ in_dec
\ scan_id
\ ___ scan ID
\ scangrp
\ ___ scan group ID
\ frame_num
\ ___ frame number in scan
\ band
\ ___ WISE band number
\ qual_frame
\ ___ quality score value for frame
\ moon_sep
\ ___ distance from frame center to moon
\ dtanneal
\ ___ time since last anneal
\ saa_sep
\ ___ distance from frame center to SAA boundary
\ unixt
\ date_obs
\ ___ date and time of mid-point of frame observation, UTC
|in_row_id|             in_ra|             in_dec|scan_id|scangrp|frame_num|band|qual_frame|          moon_sep|          dtanneal|              saa_sep|             unixt|               date_obs|               fname               |
|      int|            double|             double|   char|   char|      int| int|       int|            double|            double|               double|            double|                   char|               char                |
|         |                  |                   |       |       |         |    |          |                  |                  |                     |                  |                       |                                   |
|     null|              null|               null|   null|   null|     null|null|      null|              null|              null|                 null|              null|                   null|               null                |
         1 58.770299999999999 -38.195140000000002  84685b      5b       232    2          5   122.358411452266             999999    84.676893000000007 1501703186.6370101 2017-08-02 19:46:26.637           84685b232-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  84689b      9b       232    2         10   121.928994790443             999999    78.293471999999994 1501714496.6789899 2017-08-02 22:54:56.679           84689b232-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  84689b      9b       233    2          5   121.425394927082             999999    77.831734999999995 1501714507.6790099 2017-08-02 22:55:07.679           84689b233-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  84693b      3b       231    2         10   121.474858332316             999999    40.806339000000001   1501725806.71299 2017-08-03 02:03:26.713           84693b231-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  84693b      3b       232    2         10 120.98341285890299             999999    40.676890999999998     1501725817.717 2017-08-03 02:03:37.717           84693b232-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  84697b      7b       231    2          5 120.99628955047901             999999    5.9448449999999999 1501737116.7509799 2017-08-03 05:11:56.751           84697b231-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  84697b      7b       232    2          5 120.51869039755699             999999    6.4782080000000004 1501737127.7509999 2017-08-03 05:12:07.751           84697b232-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  84708a      8a       207    2         10   119.062164985718             999999             10.921139 1501765403.0550101 2017-08-03 13:03:23.055           84708a207-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  84708a      8a       208    2          5 118.61957069665399             999999             11.347619 1501765414.0549901 2017-08-03 13:03:34.055           84708a208-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  84709b      9b       231    2         10    118.98247888442             999999    30.144964999999999   1501771058.07302 2017-08-03 14:37:38.073           84709b231-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  84709b      9b       232    2         10 118.54225795546201             999999    30.240068000000001 1501771069.0769801 2017-08-03 14:37:49.077           84709b232-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  84712a      2a       207    2         10   118.512604202478             999999    49.442264000000002   1501776713.14498 2017-08-03 16:11:53.145           84712a207-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  84712a      2a       208    2          5   118.083811459139             999999    49.439745000000002     1501776724.145 2017-08-03 16:12:04.145           84712a208-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  84713b      3b       231    2          5 118.42168502037001             999999    68.087474999999998 1501782368.1629901 2017-08-03 17:46:08.163           84713b231-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  84713b      3b       232    2          5    117.99598837661             999999    67.790672999999998 1501782379.1630099 2017-08-03 17:46:19.163           84713b232-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  84716a      6a       206    2         10   117.936767109686             999999    82.269080000000002 1501788023.1849799 2017-08-03 19:20:23.185           84716a206-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  84716a      6a       207    2         10   117.521928595798             999999    81.807455000000004 1501788034.1849999 2017-08-03 19:20:34.185           84716a207-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  84717b      7b       232    2         10    117.42775788824             999999    90.957205999999999     1501793689.207 2017-08-03 20:54:49.207           84717b232-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  84717b      7b       233    2         10   117.012936516983             999999    90.304829999999995   1501793700.20702 2017-08-03 20:55:00.207           84717b233-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  84720a      0a       207    2          5   116.939659619822             999999    83.183435000000003 1501799344.2289901 2017-08-03 22:29:04.229           84720a207-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  84720a      0a       208    2          5   116.536400054727             999999    82.686638000000002 1501799355.2290101 2017-08-03 22:29:15.229           84720a208-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  84721b      1b       231    2         10   116.840976056828             999999    65.229409000000004     1501804999.247 2017-08-04 00:03:19.247           84721b231-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  84721b      1b       233    2         10 116.44041931845901             999999    64.858517000000006   1501805010.24702 2017-08-04 00:03:30.247           84721b233-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  84724a      4a       207    2         10 116.33312280245499             999999    46.185228000000002   1501810654.26899 2017-08-04 01:37:34.269           84724a207-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  84724a      4a       208    2         10   115.943878292862             999999    46.026122000000001 1501810665.2690101 2017-08-04 01:37:45.269           84724a208-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  84728a      8a       206    2         10   115.706292309321             999999    8.8870280000000008 1501821964.3099999 2017-08-04 04:46:04.310           84728a206-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  84728a      8a       207    2         10     115.3313065837             999999    9.3679419999999993   1501821975.31002 2017-08-04 04:46:15.310           84728a207-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  84740a      0a       207    2         10   113.372913323495             999999    24.697869000000001   1501855905.42202 2017-08-04 14:11:45.422           84740a207-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  84740a      0a       208    2         10   113.038072835603             999999    24.881634999999999 1501855916.4219999 2017-08-04 14:11:56.422           84740a208-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  84741b      1b       231    2         10   113.243934175596             999999    44.173205000000003   1501861560.43999 2017-08-04 15:46:00.440           84741b231-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  84741b      1b       232    2         10     112.9117391157             999999    44.204825999999997   1501861571.44399 2017-08-04 15:46:11.444           84741b232-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  84744a      4a       206    2          5   112.679201931203             999999    63.094451999999997 1501867215.4620199 2017-08-04 17:20:15.462           84744a206-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  84744a      4a       207    2          5 112.35880840508599             999999    62.995345999999998 1501867226.4619999 2017-08-04 17:20:26.462           84744a207-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  84745b      5b       232    2         10 112.22922656404801             999999             78.440804   1501872881.48101 2017-08-04 18:54:41.481           84745b232-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  84745b      5b       233    2         10   111.908521392818             999999    78.012113999999997 1501872892.4850199 2017-08-04 18:54:52.485           84745b233-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  84748a      8a       207    2         10   111.659539377852             999999    89.100701000000001   1501878536.50301 2017-08-04 20:28:56.503           84748a207-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  84748a      8a       208    2         10 111.35042969317099             999999              88.47587   1501878547.50701 2017-08-04 20:29:07.507           84748a208-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  84749b      9b       231    2          5   111.525835378293             999999    87.935781000000006 1501884191.5250001 2017-08-04 22:03:11.525           84749b231-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  84749b      9b       233    2          5   111.219786767646             999999    87.404180999999994 1501884202.5250199 2017-08-04 22:03:22.525           84749b233-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  84752a      2a       207    2         10   110.941376729694             999999    70.394171999999998 1501889846.5469899 2017-08-04 23:37:26.547           84752a207-w2-int-1b.fits 
         1 58.770299999999999 -38.195140000000002  84752a      2a       208    2         10 110.64696735687799             999999    70.122898000000006 1501889857.5470099 2017-08-04 23:37:37.547           84752a208-w2-int-1b.fits 
